contig_id,start_position,coverage
contig_290,1,0.00
contig_291,1,0.00
contig_292,1,0.00
contig_293,1,0.00
contig_294,1,0.00
contig_295,1,0.00
contig_296,1,0.00
contig_297,1,0.00
contig_298,1,0.00
contig_299,1,0.00
contig_300,1,0.00
contig_301,1,0.00
contig_302,1,0.00
contig_303,1,0.00
contig_304,1,0.00
contig_305,1,0.00
contig_306,1,0.00
contig_307,1,0.00
contig_308,1,0.00
contig_309,1,0.00
contig_310,1,0.00
contig_311,1,0.00
contig_312,1,0.00
contig_313,1,0.00
contig_314,1,0.00
contig_315,1,0.00
contig_316,1,0.00
contig_317,1,0.00
contig_318,1,0.00
contig_319,1,0.00
contig_320,1,0.00
contig_321,1,0.00
contig_322,1,0.00
contig_323,1,0.00
contig_324,1,0.00
contig_325,1,0.00
contig_326,1,0.00
contig_327,1,0.00
contig_328,1,0.00
contig_329,1,0.00
contig_330,1,0.00
contig_331,1,0.00
contig_332,1,0.00
contig_333,1,0.00
contig_334,1,0.00
contig_335,1,0.00
contig_336,1,0.00
contig_337,1,0.00
contig_338,1,0.00
contig_339,1,0.00
contig_340,1,0.00
contig_341,1,0.00
contig_342,1,0.00
contig_343,1,0.00
contig_344,1,0.00
contig_345,1,0.00
contig_346,1,0.00
contig_347,1,0.00
contig_348,1,0.00
contig_349,1,0.00
contig_350,1,0.00
contig_351,1,0.00
contig_352,1,0.00
contig_353,1,0.00
contig_354,1,0.00
contig_355,1,0.00
contig_356,1,0.00
contig_357,1,0.00
contig_358,1,0.00
contig_359,1,0.00
contig_360,1,0.00
contig_361,1,0.00
contig_362,1,0.00
contig_363,1,0.00
contig_364,1,0.00
contig_365,1,0.00
contig_366,1,0.00
contig_367,1,0.00
contig_368,1,0.00
contig_369,1,0.00
contig_370,1,0.00
contig_371,1,0.00
contig_372,1,0.00
contig_373,1,0.00
contig_374,1,0.00
contig_375,1,0.00
contig_376,1,0.00
contig_377,1,0.00
contig_378,1,0.00
contig_379,1,0.00
contig_380,1,0.00
contig_381,1,0.00
contig_382,1,0.00
contig_383,1,0.00
contig_384,1,0.00
contig_385,1,0.00
contig_386,1,0.00
contig_387,1,0.00
contig_388,1,0.00
contig_389,1,0.00
contig_390,1,0.00
contig_391,1,0.00
contig_392,1,0.00
contig_393,1,0.00
contig_394,1,0.00
contig_395,1,0.00
contig_396,1,0.00
contig_397,1,0.00
contig_398,1,0.00
contig_399,1,0.00
contig_400,1,0.00
contig_401,1,0.00
contig_402,1,0.00
contig_403,1,0.00
contig_404,1,0.00
contig_405,1,0.00
contig_406,1,0.00
contig_407,1,0.00
contig_408,1,0.00
contig_409,1,0.00
contig_410,1,0.00
contig_411,1,0.00
contig_412,1,0.00
contig_413,1,0.00
contig_414,1,0.00
contig_415,1,0.00
contig_416,1,0.00
contig_417,1,0.00
contig_418,1,0.00
contig_419,1,0.00
contig_420,1,0.00
contig_421,1,0.00
contig_422,1,0.00
contig_423,1,0.00
contig_424,1,0.00
contig_425,1,0.00
contig_426,1,0.00
contig_427,1,0.00
contig_428,1,0.00
contig_429,1,0.00
contig_430,1,0.00
contig_431,1,0.00
contig_432,1,0.00
contig_433,1,0.00
contig_434,1,0.00
contig_435,1,0.00
contig_436,1,0.00
contig_437,1,0.00
contig_438,1,0.00
contig_439,1,0.00
contig_440,1,0.00
contig_441,1,0.00
contig_442,1,0.00
contig_443,1,0.00
contig_444,1,0.00
contig_445,1,0.00
contig_446,1,0.00
contig_447,1,0.00
contig_448,1,0.00
contig_449,1,0.00
contig_450,1,0.00
contig_451,1,0.00
contig_452,1,0.00
contig_453,1,0.00
contig_454,1,0.00
contig_455,1,0.00
contig_456,1,0.00
contig_457,1,0.00
contig_458,1,0.00
contig_459,1,0.00
contig_460,1,0.00
contig_461,1,0.00
contig_462,1,0.00
contig_463,1,0.00
contig_464,1,0.00
contig_465,1,0.00
contig_466,1,0.00
contig_467,1,0.00
contig_468,1,0.00
contig_469,1,0.00
contig_470,1,0.00
contig_471,1,0.00
contig_472,1,0.00
contig_473,1,0.00
contig_474,1,0.00
contig_475,1,0.00
contig_476,1,0.00
contig_477,1,0.00
contig_478,1,0.00
contig_479,1,0.00
contig_480,1,0.00
contig_481,1,0.00
contig_482,1,0.00
contig_483,1,0.00
contig_484,1,0.00
contig_485,1,0.00
contig_486,1,0.00
contig_487,1,0.00
contig_488,1,0.00
contig_489,1,0.00
contig_490,1,0.00
contig_491,1,0.00
contig_492,1,0.00
contig_493,1,0.00
contig_494,1,0.00
